company|version|date|rating|count
airbnb|"2.0.0"|5|2012-07-09|1
airbnb|"2.0.0"|5|2012-07-11|1
airbnb|"2.0.0"|5|2012-07-12|1
airbnb|"2.0.0"|5|2012-07-15|1
airbnb|"2.1.0"|1|2012-07-11|1
airbnb|"2.1.0"|1|2012-07-21|2
airbnb|"2.1.0"|2|2012-07-22|1
airbnb|"2.1.0"|2|2012-07-23|1
airbnb|"2.1.0"|2|2012-07-24|1
airbnb|"2.1.0"|3|2012-07-04|2
airbnb|"2.1.0"|3|2012-07-10|1
airbnb|"2.1.0"|3|2012-07-11|1
airbnb|"2.1.0"|3|2012-07-21|1
airbnb|"2.1.0"|3|2012-07-28|1
airbnb|"2.1.0"|3|2012-07-30|1
airbnb|"2.1.0"|4|2012-07-10|1
airbnb|"2.1.0"|4|2012-07-11|1
airbnb|"2.1.0"|4|2012-07-17|1
airbnb|"2.1.0"|4|2012-07-19|2
airbnb|"2.1.0"|4|2012-07-23|1
airbnb|"2.1.0"|4|2012-07-24|1
airbnb|"2.1.0"|4|2012-07-30|1
airbnb|"2.1.0"|4|2012-08-02|1
airbnb|"2.1.0"|5|2012-07-05|2
airbnb|"2.1.0"|5|2012-07-06|1
airbnb|"2.1.0"|5|2012-07-09|1
airbnb|"2.1.0"|5|2012-07-13|2
airbnb|"2.1.0"|5|2012-07-14|1
airbnb|"2.1.0"|5|2012-07-15|4
airbnb|"2.1.0"|5|2012-07-16|2
airbnb|"2.1.0"|5|2012-07-17|2
airbnb|"2.1.0"|5|2012-07-20|5
airbnb|"2.1.0"|5|2012-07-21|2
airbnb|"2.1.0"|5|2012-07-23|1
airbnb|"2.1.0"|5|2012-07-24|3
airbnb|"2.1.0"|5|2012-07-25|2
airbnb|"2.1.0"|5|2012-07-27|5
airbnb|"2.1.0"|5|2012-07-28|3
airbnb|"2.1.0"|5|2012-07-29|1
airbnb|"2.1.0"|5|2012-07-30|3
airbnb|"2.1.0"|5|2012-08-01|2
airbnb|"2.1.0"|5|2012-08-02|3
airbnb|"2.1.0"|5|2012-08-03|1
airbnb|"2.2.0"|4|2012-09-13|1
airbnb|"2.2.0"|4|2012-09-14|1
airbnb|"2.2.0"|5|2012-09-14|1
airbnb|"2.2.0"|5|2012-09-23|1
airbnb|"2.2.0"|5|2012-10-20|1
airbnb|"2.2.0"|5|2012-12-09|1
airbnb|"2.2.0"|5|2012-12-26|1
airbnb|"2.2.0"|5|2013-01-20|1
airbnb|"2.2.1"|1|2012-09-19|1
airbnb|"2.2.1"|3|2012-09-15|1
airbnb|"2.2.1"|4|2012-09-13|1
airbnb|"2.2.1"|4|2012-09-15|1
airbnb|"2.2.1"|5|2012-09-15|2
airbnb|"2.2.1"|5|2012-09-16|1
airbnb|"2.2.1"|5|2012-09-19|4
airbnb|"2.2.1"|5|2012-09-20|4
airbnb|"2.2.1"|5|2012-09-22|1
airbnb|"2.2.1"|5|2012-09-23|3
airbnb|"2.2.1"|5|2012-09-24|2
airbnb|"2.2.1"|5|2012-10-09|1
airbnb|"2.2.1"|5|2012-10-24|1
airbnb|"2.2.1"|5|2012-12-05|1
airbnb|"2.2.1"|5|2013-05-27|1
airbnb|"2.2.2"|1|2012-10-06|1
airbnb|"2.2.2"|1|2012-10-07|1
airbnb|"2.2.2"|1|2012-10-11|1
airbnb|"2.2.2"|2|2012-10-07|1
airbnb|"2.2.2"|2|2012-10-08|1
airbnb|"2.2.2"|2|2012-10-10|1
airbnb|"2.2.2"|2|2012-10-18|1
airbnb|"2.2.2"|3|2012-10-10|1
airbnb|"2.2.2"|3|2012-10-15|1
airbnb|"2.2.2"|3|2012-10-18|1
airbnb|"2.2.2"|4|2012-10-07|4
airbnb|"2.2.2"|4|2012-10-09|2
airbnb|"2.2.2"|4|2012-10-11|1
airbnb|"2.2.2"|4|2012-10-14|1
airbnb|"2.2.2"|4|2012-10-15|1
airbnb|"2.2.2"|4|2012-10-16|1
airbnb|"2.2.2"|4|2012-10-17|2
airbnb|"2.2.2"|4|2012-10-18|2
airbnb|"2.2.2"|4|2012-10-19|1
airbnb|"2.2.2"|4|2012-10-21|1
airbnb|"2.2.2"|5|2012-10-05|1
airbnb|"2.2.2"|5|2012-10-06|6
airbnb|"2.2.2"|5|2012-10-07|3
airbnb|"2.2.2"|5|2012-10-08|3
airbnb|"2.2.2"|5|2012-10-09|4
airbnb|"2.2.2"|5|2012-10-10|2
airbnb|"2.2.2"|5|2012-10-12|1
airbnb|"2.2.2"|5|2012-10-13|3
airbnb|"2.2.2"|5|2012-10-14|3
airbnb|"2.2.2"|5|2012-10-15|4
airbnb|"2.2.2"|5|2012-10-16|1
airbnb|"2.2.2"|5|2012-10-17|6
airbnb|"2.2.2"|5|2012-10-18|6
airbnb|"2.2.2"|5|2012-10-20|1
airbnb|"2.2.2"|5|2012-10-22|1
airbnb|"2.2.2"|5|2012-11-01|1
airbnb|"2.2.2"|5|2013-05-17|1
airbnb|"2.2.2"|5|2013-05-26|1
airbnb|"2.2.3"|1|2012-10-22|1
airbnb|"2.2.3"|1|2012-10-25|1
airbnb|"2.2.3"|1|2012-12-01|1
airbnb|"2.2.3"|1|2012-12-02|1
airbnb|"2.2.3"|2|2012-11-17|1
airbnb|"2.2.3"|2|2012-11-19|1
airbnb|"2.2.3"|2|2012-12-02|1
airbnb|"2.2.3"|3|2012-11-20|1
airbnb|"2.2.3"|4|2012-10-19|2
airbnb|"2.2.3"|4|2012-10-21|1
airbnb|"2.2.3"|4|2012-10-22|2
airbnb|"2.2.3"|4|2012-10-23|1
airbnb|"2.2.3"|4|2012-10-28|1
airbnb|"2.2.3"|4|2012-11-02|1
airbnb|"2.2.3"|4|2012-11-14|1
airbnb|"2.2.3"|4|2012-11-19|1
airbnb|"2.2.3"|4|2012-11-20|2
airbnb|"2.2.3"|4|2012-11-24|1
airbnb|"2.2.3"|4|2012-11-26|1
airbnb|"2.2.3"|4|2012-11-27|1
airbnb|"2.2.3"|4|2012-12-01|1
airbnb|"2.2.3"|4|2012-12-04|1
airbnb|"2.2.3"|4|2013-05-12|1
airbnb|"2.2.3"|5|2012-10-19|1
airbnb|"2.2.3"|5|2012-10-21|1
airbnb|"2.2.3"|5|2012-10-22|4
airbnb|"2.2.3"|5|2012-10-23|1
airbnb|"2.2.3"|5|2012-10-25|2
airbnb|"2.2.3"|5|2012-10-26|2
airbnb|"2.2.3"|5|2012-10-30|2
airbnb|"2.2.3"|5|2012-10-31|1
airbnb|"2.2.3"|5|2012-11-03|1
airbnb|"2.2.3"|5|2012-11-16|1
airbnb|"2.2.3"|5|2012-11-17|2
airbnb|"2.2.3"|5|2012-11-21|5
airbnb|"2.2.3"|5|2012-11-22|1
airbnb|"2.2.3"|5|2012-11-23|1
airbnb|"2.2.3"|5|2012-11-24|1
airbnb|"2.2.3"|5|2012-11-25|3
airbnb|"2.2.3"|5|2012-11-26|1
airbnb|"2.2.3"|5|2012-11-27|2
airbnb|"2.2.3"|5|2012-11-28|5
airbnb|"2.2.3"|5|2012-11-29|1
airbnb|"2.2.3"|5|2012-11-30|1
airbnb|"2.2.3"|5|2012-12-02|1
airbnb|"2.2.3"|5|2012-12-13|1
airbnb|"2.2.3"|5|2012-12-20|1
airbnb|"2.2.3"|5|2012-12-30|1
airbnb|"2.2.3"|5|2013-01-04|1
airbnb|"2.3.0"|1|2012-12-04|1
airbnb|"2.3.0"|3|2012-12-07|1
airbnb|"2.3.0"|4|2012-12-09|1
airbnb|"2.3.0"|4|2012-12-11|2
airbnb|"2.3.0"|4|2012-12-16|1
